key,value,definition
natural,liana,natural	=	liana
amenity,library,amenitat/servei	=	biblioteca
amenity,library_dropoff,amenitat/servei	=	entrega de la biblioteca
access,licence,accés	=	llicència
fishing,licence,pescar	=	llicència
access,license,accés	=	llicència
symbol,Liegende gelbe Raute auf weißem Grund,símbol Color groc destacat Carretera sobre fons blanc
amenity,life_ring,amenitat/servei	=	anell de vida
emergency,life_ring,emergència	=	anell de vida
seamark:rescue_station:category,lifeboat,seamark:estació de salvament:categoria	=	pot salvavides
seamark:rescue_station:category,lifeboat_on_mooring,seamark:estació de salvament:categoria	=	pot salvavides en amarratge
amenity,lifeboat_station,amenitat/servei	=	estació de pots salvavides
emergency,lifeboat_station,emergència	=	estació de pots salvavides
cadet,lifeguard,cadet	=	Salvavides
emergency,lifeguard,emergència	=	Salvavides
office,lifeguard,oficina	=	Salvavides
emergency,lifeguard_base,emergència	=	base de salvavides
emergency,lifeguard_place,emergència	=	lloc de salvavides
emergency,lifeguard_platform,emergència	=	plataforma de salvavides
emergency,lifeguard_tower,emergència	=	torre de salvavides
bridge:movable,lift,"pont: mòbil = elevador, ascensor"
barrier,lift_gate,barrera	=	ascensor_porta
bridge:support,lift_pier,pont: suport	=	ascensor moll
railway:signal:distant:form,light,ferrocarril:senyal:distant:forma	=	llum
railway:signal:shunting:form,light,ferrocarril:senyal:maniobra:formulari	=	llum
railway:signal:minor:form,light,ferrocarril:senyal:menor:formulari	=	llum
railway:signal:main:form,light,ferrocarril:senyal:principal:formulari	=	llum
railway:signal:speed_limit:form,light,ferrocarril:senyal:speed_limit:formulari	=	llum
seamark:type,light,marca de mar: tipus	=	lleuger
material,light,material	=	lleuger
building:material,light,material de construcció	=	llum
railway:signal:combined:form,light,ferrocarril:signal:combined:form	light
railway:signal:speed_limit_distant:form,light,ferrocarril:senyal:límit_de_velocitat_distant:forma lleugera
seamark:type,light_float,marca de mar: tipus	=	flotador lleuger
seamark:type,light_major,marca de mar:tipus	=	llum_major
seamark:type,light_minor,marca de mar: tipus	=	llum_menor
construction,light_rail,construcció	=	Tren Lleuger
station,light_rail,estació	=	Tren Lleuger
railway,light_rail,ferrocarril	=	Tren Lleuger
route,light_rail,ruta	=	Tren Lleuger
seamark:type,light_vessel,marca de mar: tipus	=	vaixell lleuger
building:colour,lightgrey,edifici:color gris clar
man_made,lighthouse,artificial	=	far
seamark,lighthouse,marca	=	far
building,lighthouse,tipus d'edifici	=	far
shop,lighting,botiga	=	Encenent
tower:type,lighting,torre:tipus	=	Encenent
tower:type,lightning_protection,torre:tipus	=	protecció contra raigs
genus,Ligustrum,gènere	=	tauleta
species,Ligustrum␣lucidum,espècies	=	Ligustrum_lucidum
fortification_type,limes,tipus de fortificació	=	llimes
material,limestone,material	=	calcària
wheelchair,limited,cadira de rodes	=	limitat
lit,limited,il·luminat	=	limitat
ale_supply,limited,subministrament de cervesa	=	limitat
changing_table,limited,taula per canviar bolquers	=	limitat
seamark:notice:category,limited_headroom,marca:avís:categoria	=	marge limitat
boundary,limited_traffic_zone,Límit	=	zona de trànsit limitat
genus:de,Linde,gènere:de	=	Linde
genus:en,Linden,gènere: ca	=	Til·ler
barrier,line,barrera	=	línia
communication,line,comunicació	=	línia
removed:power,line,eliminat: poder	=	línia
power,line,energia	=	línia
crossing:markings,lines,creuament:marques línies
political_division,linguistic_community,divisió política	=	comunitat lingüística
footway,link,senda	=	Enllaç
house,link-detached,casa	=	enllaç separat
club,linux,club	=	linux
cargo,liquid_bulk,càrrega	=	líquid a granel
genus,Liquidambar,gènere	=	Liquidàmbar
species,Liquidambar styraciflua,espècie Liquidambar styraciflua
species,Liquidambar␣styraciflua,espècies	=	Liquidambar_styraciflua
genus,Liriodendron,gènere	=	lliriodendre
species,Liriodendron␣tulipifera,espècies	=	Liriodendron_tulipifera
landuse,livestock,ús del sòl	=	bestiar
museum,living_history,museu	=	història viva
highway,living_street,carretera	=	viure_carrer
construction,living_street,construcció	=	carrer viu
content,LNG,contingut	=	GNL
substance,LNG,substància	=	GNL
amenity,loading_dock,amenitat/servei	=	moll_de_càrrega
railway,loading_gauge,ferrocarril	=	indicador de càrrega
railway,loading_rack,ferrocarril	=	prestatge de càrrega
railway,loading_ramp,ferrocarril	=	rampa de càrrega
cuisine,local,cuina	=	local
museum,local,museu	=	local
passenger,local,passatger	=	local
priority,local,prioritat	=	local
network:type,Local,tipus de xarxa	=	Local
traffic,local,trànsit	=	local
hgv,local,camions local
source:name,local knowledge,font:nom logic_undp
boundary,local_authority,Límit	=	autoritat local
place,locality,lloc	=	localitat
water,lock,aigua	=	tancar
signal_station,lock,estació de senyals	=	tancar
seamark:signal_station_traffic:category,lock,seamark: trànsit de l'estació de senyals: categoria	=	tancar
seamark:type,lock_basin,marca de mar: tipus	=	conca de bloqueig
waterway,lock_gate,camí aquàtic	=	lock_gate
amenity,locker,amenitat/servei	=	armari
craft,locksmith,artesania	=	serraller
shop,locksmith,botiga	=	serraller
historic,locomotive,històric	=	locomotora
genus:en,Locust,gènere: ca	=	llagosta
barrier,log,barrera	=	Inicia sessió
landuse,logging,ús del sòl	=	Inici sessió
source:name,logic_undp,font:nom LPI NSW Base Map
bicycle:type,logistics,bicicleta: tipus	=	logística
company,logistics,empresa	=	logística
industrial,logistics,industrial	=	logística
office,logistics,oficina	=	logística
megalith_type,long_barrow,tipus de megàlit	=	carretó llarg
athletics,long_jump,atletisme	=	salt llarg
sport,long_jump,esport	=	salt llarg
curve,loop,corba	=	cercle
hazard,loose_gravel,perill	=	graveta solta
species,Lophostemon␣confertus,espècies	=	Lophostemon_confertus
seamark:radio_station:category,loran,seamark:emissora de ràdio:categoria	=	lloren
office,lost_property,oficina	=	propietat perduda
amenity,lost_property_office,amenitat/servei	=	oficina d'objectes perduts
boundary,lot,Límit	=	lot
shop,lottery,botiga	=	loteria
utility,loudspeaker,utilitat	=	altparlant
amenity,lounger,amenitat/servei	=	faragan
place_of_worship,lourdes_grotto,lloc d'adoració	=	gruta de lourdes
amenity,love_hotel,"amenitat/servei = Casa de cites , habitacions per hores"
standing,low,de peu	=	baix
boundary,low_emission_zone,Límit	=	zona de baixa emissió
hazard,low_flying_aircraft,perill	=	avions de baix vol
lamp_type,low_pressure_sodium,tipus_lampada	=	sodi_baixa_pressió
bridge,low_water_crossing,pont	=	cruce_de_aguas_bajas
seamark:light:1:category,lower,seamark:llum:1:categoria	=	més baix
seamark:light:category,lower,seamark:llum:categoria	=	més baix
kerb,lowered,frenar	=	baixat
content,LPG,contingut	=	GLP
source:name,LPI NSW Base Map,font:nom minvskadreçaess
source:name,LPI_NSW_Base_Map,nom de la font	=	Mapa base de LPI NSW
source:geometry,LPI_NSW_Imagery,font: geometria	=	Imatges LPI NSW
source:maxspeed,LT:urban,font:velocitat màxima LT:urbà
railway,lubricator,ferrocarril	=	lubricador
amenity,luggage_locker,amenitat/servei	=	caseller d'equipatge
species,Luma␣apiculata,espècies	=	Luma_apiculata
denomination,lutheran,denominació luterana
craft,luthier,artesania	=	luthier
clothes,luxury,roba	=	luxe
network:type,lwn,tipus de xarxa	=	lwn
school:MG,lycée,escola:MG	=	liceu
barrier,lych_gate,barrera	=	porta lych
boules,lyonnaise,petanca	=	Lleonesa
genus,Macadamia,gènere	=	macadàmia
trees,macadamia_trees,arbres	=	macadamia_trees
industrial,machine_shop,industrial	=	botiga de màquina
product,machinery,producte	=	maquinària
aerialway,magic_carpet,via aèria	=	catifa màgica
survey_point:structure,magnet,punt d'enquesta: estructura	=	imant
genus,Magnolia,gènere	=	Magnòlia
species,Magnolia␣grandiflora,espècies	=	Magnòlia_grandiflora
amenity,mailroom,amenitat/servei	=	sala de correu
entrance,main,entrada	=	principal
railway:track_type,main,ferrocarril:tipus_de_via	=	principal
water_source,main,font d'aigua	=	principal
transformer,main,transformador	=	principal
usage,main,ús	=	principal
entrance,main_entrance,entrada	=	entrada principal
LINZ:dataset,mainland,LINZ:conjunt de dades	=	continent
house,maisonette,casa	=	caseta
crop,maize,cultiu	=	blat de moro
description,Maize,descripció Blat de moro
HFCS,Major Collector,Col·lector principal HFCS
HFCS,Major␣Collector,JMAF	=	Major_Col·leccionista
cuisine,malaysian,cuina	=	malasi
school:gender,male,escola:gènere	=	masculí
shop,mall,botiga	=	centre comercial
site,mall,lloc	=	centre comercial
genus,Malus,gènere	=	Malus
species,Malus␣domestica,espècies	=	Malus_domèstica
type,maneuver,tipus	=	maniobra
type,maneuvre,tipus	=	maniobra
genus,Mangifera,gènere	=	Mangifera
trees,mango_trees,arbres	=	arbres_de_mango
wetland,mangrove,aiguamoll	=	mangle
man_made,manhole,artificial	=	forat dhome
type,manoeuvre,tipus	=	maniobra
historic,manor,històric	=	senyoriu
castle_type,manor,tipus castell	=	senyoriu
roof:shape,mansard,sostre: forma	=	golfes
pump,manual,bomba	=	manual
mechanical_driver,manual,conductor mecànic	=	manual
actuator,manual,solenoide	=	manual
building,manufacture,tipus d'edifici	=	fabricar
shop,manufactured_home,botiga	=	casa prefabricada
content,manure,contingut	=	fems
roof:shape,many,sostre: forma	=	molts
information,map,informació	=	mapa
playground,map,parc infantil	=	mapa
source:position,"MapBox (0,0)","font: posició MapBox (0,0)"
source:destination,mapillary,origen Destinació	=	mapellar
genus:en,Maple,gènere: ca	=	Arce
shop,maps,botiga	=	mapes
source:outline,"Maps4BW (LGL-BW, www.lgl-bw.de)","font: esquema Maps4BW (LGL-BW, www.lgl-bw.de)"
source:outline,"maps4bw (LGL, www.lgl-bw.de)","font: esquema maps4bw (LGL, www.lgl-bw.de)"
source:outline,"maps4bw (LGL, www.lgl-bw.de); Mapbox Satellite","font: esquema maps4bw (LGL, www.lgl-bw.de); Mapbox Satellite"
source:outline,"maps4bw␣(LGL,␣www.lgl-bw.de);␣Mapbox␣Satellite","font: esquema	=	maps4bw_(LGL,_www.lgl-bw.de);_Mapbox_Satèl·lit"
seamark:landmark:function,marabout,marca:punt de referència:funció	=	morabit
amenity,marae,amenitat/servei	=	marae
material,marble,material	=	marbre
building:material,marble,material de construcció	=	marbre
leisure,marina,lleure	=	port petit
seamark:harbour:category,marina,marca:port:categoria	=	port petit
harbour,marina,port	=	port petit
harbour:category,marina,port:categoria	=	port petit
shop,marine,botiga	=	marina
seamark:type,marine_farm,marca de mar:tipus	=	granja_marina
emergency,marine_refuge,emergència	=	refugi marí
emergency,marine_rescue,emergència	=	rescat marí
military_service,marines,servei militar	=	infanteria de marina
historic,maritime,històric	=	marítim
boundary,maritime,Límit	=	marítim
crossing,marked,encreuament	=	marcat
parking:lane:both,marked,estacionament:carril:tots dos	=	marcat
pipeline,marker,canonada	=	marcador
boundary,marker,Límit	=	marcador
power,marker,poder	=	marcador
crop,market_gardening,cultiu	=	mercat_jardineria
amenity,marketplace,amenitat/servei	=	mercat
building,marketplace,tipus d'edifici	=	mercat
aeroway,marking,via aèria	=	qualificació
building,marquee,tipus d'edifici	=	marquesina
wetland,marsh,aiguamoll	=	pantà
natural,marsh,natural	=	pantà
man_made,marsh_terrace,terrassa_de_aiguamoll_artificial
sport,martial_arts,esport	=	Arts marcials
material,masonry,material	=	paleta
building:material,masonry,material de construcció	=	paleta
place_of_worship,mass_rock,lloc d'adoració	=	roca massiva
beauty,massage,bellesa	=	massatges
shop,massage,botiga	=	massatge
healthcare:speciality,massage_therapy,especialitat:de_salut	=	massatge_teràpia
source:hgv,MassGIS,font:hgv	=	MassGIS
source:maxspeed,massgis,font:velocitat màxima massgis
man_made,mast,artificial	=	pal
seamark:landmark:category,mast,marca:punt de referència:categoria	=	pal
lamp_mount,mast,muntatge_de_lampada	=	pal
landmark,mast,punt de referència	=	pal
school:FR,maternelle,escola:FR	=	maternelle
healthcare:speciality,maternity,especialitat:de_salut	=	maternitat
age,mature,anys	=	madur
tomb,mausoleum,tomba	=	mausoleu
source:surface,MaxarPremium,font:superfície	=	MaxarPremium
healthcare:speciality,maxillofacial_surgery,sanitat:especialitat	=
enforcement,maxspeed,aplicació	=	màxima velocitat
man_made,maypole,artificial	=	maig
attraction,maze,atracció	=	laberint
leisure,maze,temps lliure	=	laberint
addr:ward,Mbagala,adreça: sala	=	Mbagala
addr:ward,Mbagala kuu,adreça:ward Mbagala kuu
addr:ward,Mbagala␣kuu,adreça: sala	=	Mbagala_kuu
man_made,MDF,artificial	=	MDF
source:ele,MDT5,font:el	=	MDT5
natural,meadow,natural	=	prat
landuse,meadow,ús del sòl	=	prat
orchard,meadow_orchard,horta	=	hort del prat
meadow,meadow_orchard,prat	=	prat_hort
landuse,meadow_orchard,ús del sòl	=	hort del prat
substation,measurement,subestació	=	mesurament
man_made,measurement_station,fet per l'home	=	estació de mesura
wholesale,meat,majorista	=	carn
switch,mechanical,canviar	=	mecànic
cooling:method,mechanical_draft,mètode de refredament	=	tir mecànic
survey_point:structure,medallion,punt d'enquesta: estructura	=	medalló
traffic_calming,median,mediana de calma del trànsit
barrier,median_strip,barrera	=	franja divisòria
shop,medical,botiga	=	metge
office,medical,oficina	=	metge
healthcare:speciality,medical_examination,sanitat:especialitat	=	revisió mèdica
healthcare,medical_imaging,cura de la salut	=	imatges mèdiques
shop,medical_supply,botiga	=	suplement mèdic
amenity,meditation_centre,amenitat/servei	=	centre de meditació
cuisine,mediterranean,cuina	=	Mediterrani
NHD:RESOLUTION,Medium,NHD:RESOLUCIÓ	=	Mitjà
archaeological_site,megalith,lloc arqueològic	=	megàlit
site_type,megalith,tipus_lloc	=	megàlit
species,Melaleuca␣armillaris,espècies	=	Melaleuca_armillaris
species,Melaleuca␣linariifolia,espècies	=	Melaleuca_linariifolia
species,Melaleuca␣styphelioides,espècies	=	Melaleuca_styphelioides
species,Melia␣azedarach,espècies	=	Melia_azedarach
private,members,privat	=	membres
historic,memorial,històric	=	monument
seamark:landmark:category,memorial,marca:punt de referència:categoria	=	monument
memorial,memorial,monument	=	monument
landmark,memorial_plaque,punt de referència	=	placa commemorativa
megalith_type,menhir,tipus de megàlit	=	menhir
social_facility:for,mental_health,social_facility:per	=	salut mental
dinner,menu,sopar	=	menú
lamp_type,mercury,tipus_lampada	=	mercuri
water,mere,aigua	=	simple
man_made,meridian_marker,fet per l'home	=	marcador de meridià
created_by,Merkaartor 0.11,creat_per Merkaartor 0.11
created_by,Merkaartor 0.12,creat_per Merkaartor 0.12
created_by,Merkaartor 0.13,creat_per Merkaartor 0.13
created_by,Merkaartor_0.11,creat per	=	Merkaartor 0.11
natural,mesa,natural	=	turó baix
fence_type,metal,cerca_tipus	=	metall
building:roof,metal,edifici: sostre	=	metall
material,metal,material	=	metall
building:material,metal,material de construcció	=	metall
roof:material,metal,sostre: material	=	metall
surface,metal,superfície	=	metall
roof:material,metal sheet,sostre:material metall full
craft,metal_construction,artesania	=	construcció de metall
surface,metal_grid,superfície	=	reixeta_metalica
building:material,metal_plates,material de construcció	=	Plats de metall
industrial,metal_processing,industrial	=	processant metall
roof:material,metal_sheet,sostre: material	=	làmina de metall
lamp_type,metal-halide,tipus_lampada	=	halogenurs metàl·lics
lamp_type,metal-halogenide,halogenur metàl·lic tipus_làmpada
material,metal;wood,material	=	metall;fusta
building:material,metal;wood,material de construcció	=	metall;fusta
roof:material,metal␣sheet,sostre: material	=	metall xapa
historic,meteor_crater,històric	=	cràter de meteorit
natural,meteor_crater,natural	=	cràter de meteorit
observatory:type,meteorological,observatori:tipus	=	meteorològic
denomination,methodist,denominació metodista
cuisine,mexican,cuina	=	mexicà
heritage:operator,mhs,patrimoni:operador	=	mhs
healthcare:speciality,microbiology,sanitat:especialitat	=
amenity,microwave,amenitat/servei	=	microona
placement,middle_of:1,col·locació	=	mitjà_de:1
placement,middle_of:2,col·locació	=	mitjà_de:2
placement,middle_of:3,placement	middle_of:3
healthcare,midwife,cura de la salut	=	Partera
building:use:pl,mieszkalne,edifici:ús:pl	=	mieszkalne
building:use:pl,Mieszkalny,edifici:ús:pl	=	Mieszkalny
building:usage:pl,mieszkalny,edifici:ús:pl mieszkalny
waterway,milestone,camí aquàtic	=	fita
highway,milestone,carretera	=	fita
railway,milestone,ferrocarril	=	fita
historic,milestone,històric	=	fita
access,military,accés=militar
aerodrome:type,military,aeròdrom: tipus	=	militar
flag:type,military,bandera: tipus	=	militar
cadet,military,cadet	=	militar
museum,military,museu	=	militar
foot,military,peu	=	militar
harbour:category,military,port:categoria	=	militar
seamark:restricted_area:category,military,seamark:àrea restringida:categoria	=	militar
building,military,tipus d'edifici	=	militar
usage,military,ús	=	militar
landuse,military,ús del sòl	=	militar
seamark:type,military_area,marca de mar: tipus	=	zona militar
club,military_cadets,club	=	cadets militars
boundary,military_district,Límit	=	districte militar
shop,military_surplus,botiga	=	excedent militar
vending,milk,venda	=	Llet
amenity,milk_dispenser,amenitat/servei	=	dispensador de llet
seamark:landmark:category,minaret,marca:punt de referència:categoria	=	minar
tower:type,minaret,torre:tipus	=	minar
man_made,mine,artificial	=	meva
historic,mine,històric	=	meva
industrial,mine,industrial	=	meva
landuse,mine,ús del sòl	=	meva
historic,mine_shaft,històric	=	pou de mina
hazard,minefield,perill	=	camp de mines
site_type,mineral_extraction,tipus_lloc	=	extracció_de_minerals
man_made,mineshaft,artificial	=	pou de mina
traffic_calming,mini_bumps,calmar el trànsit	=	mini_cops
highway,mini_roundabout,carretera	=	mini_rotonda
railway,miniature,ferrocarril	=	miniatura
sport,miniature_golf,esport	=	minigolf
leisure,miniature_golf,temps lliure	=	minigolf
bus,minibus,autobús	=	microbús
route,minibus,ruta	=	microbús
archaeological_site,minilith,lloc arqueològic	=	minilit
site_type,minilith,tipus de lloc	=	minilit
lit:perceived,minimal,encès: percebut	=	mínim
source:ref,Ministerial Decision Γ25871/1963 (ΦΕΚ Β 319/23.07.1963),font:referència Decisió Ministerial Γ25871/1963 (ΦΕΚ Β 319/23.07.1963)
source:ref,Ministerial Decision ΔΟΥ/οικ/5776/2015 (ΦΕΚ ΑΑΠ 253/21.12.2015),font:referència Decisió Ministerial ΔΟΥ/οικ/5776/2015 (ΦΕΚ ΑΑΠ 253/21.12.2015)
government,ministry,govern	=	ministeri
stop,minor,atureu-vos	=	menor
highway,minor,autopista	=	menor
construction,minor,construcció	=	menor
railway:track_type,minor,ferrocarril:tipus_via menor
HFCS,Minor Arterial,Arterial menor HFCS
substation,minor_distribution,subestació	=	distribució_menor
power,minor_line,energia	=	línia_menor
HFCS,Minor␣Arterial,JMAF	=	Menor_Arterial
craft,mint,artesania	=	menta
source:name,minvskaddress,font:nom MRWA-514
building:material,mirror,material de construcció	=	mirall
military,missile,militar	=	míssil
embassy,mission,ambaixada	=	missió
amenity,mist_spraying_cooler,amenitat/servei	=	refredador de polvorització de boira
autonomy,mixed,autonomia	=	barrejat
leaf_cycle,mixed,cicle_full	=	barrejat
abutters,mixed,confina amb	=	barrejat
school:gender,mixed,escola:gènere	=	barrejat
railway:traffic_mode,mixed,ferrocarril:traffic_mode	=	barrejat
wood,mixed,fusta	=	barrejat
building:material,mixed,material de construcció	=	barrejat
roof:shape,mixed,sostre: forma	=	barrejat
leaf_type,mixed,tipus_full	=	barrejat
waste,mixed,brossa = barrejada
aerialway,mixed_lift,via aèria	=	aixecament mixt
building,mixed_use,tipus d'edifici	=	Ús mixt
naptan:BusStopType,MKD,naptan:BusStopType	=	MKD
naptan:PlusbusZoneRef,MNCRPIC,naptà:PlusbusZoneRef	=	MNCRPIC
seamark:light:character,Mo,marca:llum:personatge	=	Mes
collection_times,Mo-Fr 08:00,horaris_de_col·lecció dl-dv 08:00
opening_hours,Mo-Fr 08:00-16:00,horaris	Mo-Fr 08:00-16:00
collection_times,Mo-Fr 09:00; Sa 07:00,horaris_de_col·lecció dl-dv 09:00; Ds 07:00
collection_times,Mo-Fr␣08:00,temps_de_col·lecció	=	dl-vie_08:00
collection_times,Mo-Fr␣09:00;␣Sa␣07:00,temps_de_col·lecció	=	dl-vie_09:00;_dissab_07:00
collection_times,Mo-Sa 09:00,horari_de_recollida Dl-Ds 09:00
water,moat,aigua	=	fossat
industrial,mobile_equipment,industrial	=	equip mòbil
shop,mobile_home,botiga	=	casa mòbil
building,mobile_home,tipus d'edifici	=	casa mòbil
amenity,mobile_library,amenitat/servei	=	biblioteca mòbil
amenity,mobile_money_agent,amenitat/servei	=	agent_diners_movil
shop,mobile_phone,botiga	=	telèfon mòbil
communication,mobile_phone,comunicació	=	telèfon mòbil
shop,mobility_scooter,botiga	=	scooter
shop,model,botiga	=	model
sport,model_aerodrome,esport	=	model_aeròdrom
source:shape,Modified MS Footprints https://cugir.library.cornell.edu,source:shape Empremtes de MS modificades https://cugir.library.cornell.edu
source:shape,Modified␣MS␣Footprints␣https://cugir.library.cornell.edu,font:forma	=	Modificat_MS_Footprints_https://cugir.library.cornell.edu
seamark:light:category,moire,seamark:llum:categoria	=	muaré
amenity,monastery,amenitat/servei	=	monestir
historic,monastery,històric	=	monestir
garden:type,monastery,jardí: tipus	=	monestir
building,monastery,tipus d'edifici	=	monestir
church:type,monastic,església:tipus	=	monàstic
shop,money_lender,botiga	=	prestador
amenity,money_transfer,amenitat/servei	=	transferència de diners
shop,moneylender,botiga	=	prestador
tower:type,monitoring,torre:tipus	=	supervisió
man_made,monitoring_station,artificial	=	estació_de_monitoreig
mooring,monobuoy,amarrador	=	monoboia
design,monopolar,disseny	=	monopolar
poles,monopole,poles	monopole
tower:construction,monopole,torre:monopol de construcció
construction,monorail,construcció	=	monocarril
station,monorail,estació	=	monocarril
railway,monorail,ferrocarril	=	monocarril
route,monorail,ruta	=	monocarril
historic,monument,històric	=	Monument
seamark:landmark:category,monument,marca:punt de referència:categoria	=	Monument
tower:type,monument,torre:tipus	=	Monument
natural,moor,natural	=	Param
waterway,mooring,camí aquàtic	=	amarrador
seamark:type,mooring,marca de mar: tipus	=	amarrador
seamark:buoy_special_purpose:category,mooring,seamark:boia propòsit especial:categoria	=	amarrador
geological,moraine,geològic	=	morena
glacier:part,moraine,glacera: part	=	morena
natural,moraine,natural	=	morena
denomination,mormon,denominació	=	mormó
amenity,mortuary,amenitat/servei	=	mortuori
genus,Morus,gènere	=	Morus
species,MORUS␣ALBA,espècies	=	MORUS_ALBA
seamark:landmark:function,mosque,marca:punt de referència:funció	=	mesquita
building,mosque,tipus d'edifici	=	mesquita
natural,moss,natural	=	molsa
landcover,mostly_rock,coberta terrestre	=	sobretot_rock
tourism,motel,turisme	=	motel
sport,motocross,esport	=	motocròs
sport,motor,esport	=	motor
route,motorboat,ruta	=	motora
boat:type,motorboat,vaixell:tipus	=
shop,motorcycle,botiga	=	motocicleta
club,motorcycle,club	=	motocicleta
trailer:type,motorcycle,remolc: tipus	=	motocicleta
clothes,motorcycle,roba	=	motocicleta
taxi_type,motorcycle,tipus de taxi	=	motocicleta
taxi_vehicle,motorcycle,vehicle taxi	=	motocicleta
barrier,motorcycle_barrier,barrera	=	barrera de motos
amenity,motorcycle_parking,amenitat/servei	=	moto_estacionament
shop,motorcycle_parts,botiga	=	parts de motocicleta
amenity,motorcycle_rental,amenitat/servei	=	lloguer de motos
shop,motorcycle_repair,botiga	=	reparació_de_motos
amenity,motorcycle_taxi,amenitat/servei	=	mototaxi
shop,motorhome,botiga	=	casa rodant
caravan_site,motorhome_stopover,lloc de caravanes	=	escala d'autocaravanes
shop,motorsports,botiga	=	automobilisme
highway,motorway,carretera	=	autopista
construction,motorway,construcció	=	autopista
proposed,motorway,proposat	motorway
highway,motorway_junction,carretera	=	cruce_autopista
highway,motorway_link,carretera	=	autopista_enllaç
construction,motorway_link,construcció	=	enllaç d'autopista
fortification_type,motte,tipus de fortificació	=	mota
man_made,mound,artificial	=	monticle
glacier:type,mountain,glacera: tipus	=	muntanya
sac_scale,mountain_hiking,sac_escala	=	Muntanyisme
natural,mountain_range,natural	=	serralada
emergency,mountain_rescue,emergència	=	rescat de muntanya
man_made,mountaineers_mailbox,fet per l'home	=	bústia de muntanyencs
man_made,mounting_block,fet per l'home	=	bloc de muntatge
bridge,movable,pont	=	mòbil
vending,movies,venda	=	pel·lícules
office,moving_company,oficina	=	empresa de mudances
highway,moving_walkway,autopista	=	passarel·la mòbil
source:name,MRWA-514,font:nom Nomenclator Geográfico Básico de España
mapper,mspray9,mapejador	=	mspray9
gns:dsg,MT,gns:dsg	=	MUNTANYA
bicycle,mtb,bicicleta	=	bicicleta de muntanya
route,mtb,ruta	=	bicicleta de muntanya
amenity,mtb_school,amenitat/servei	=	escola mtb
wetland,mud,aiguamoll	=	fang
tidal,mud,de marea	=	fang
building:material,mud,material de construcció	=	fang
natural,mud,natural	=	fang
surface,mud,superfície	=	fang
building:material,mud;wood,material de construcció	=	fang;fusta
route,mudflat_hiking,ruta	=	senderisme aiguamolls
sport,multi,esport	=	multi
parking,multi-storey,estacionament	=	de molts pisos
religion,multifaith,religió	=	multireligiós
type,multilinestring,tipus	=	multilínia
type,multipolygon,tipus	=	multipolígon
flag:type,municipal,bandera: tipus	=	municipal
ownership,municipal,propietat	=	municipal
source:street,municipality,font: carrer	=	municipi
source:streetnumber,municipality,font:número del carrer	=	municipi
place,municipality,lloc	=	municipi
source:en,Municipality of Caguas,font:en Municipi de Caguas
source:en,Municipality␣of␣Caguas,font:es	=	Municipi_de_Cagües
bunker_type,munitions,tipus búnquer	=	proveïments
artwork_type,mural,tipus_d'obra	=	mural
genus,Musa,gènere	=	musa
building,museum,tipus d'edifici	=	museu
tourism,museum,turisme	=	museu
shop,music,botiga	=	música
training,music,capacitació	=	música
club,music,club	=	música
amenity,music_school,amenitat/servei	=	escola de Musica
amenity,music_venue,amenitat/servei	=	lloc de música
leisure,music_venue,temps lliure	=	lloc de música
craft,musical_instrument,artesania	=	instrument musical
shop,musical_instrument,botiga	=	instrument musical
shop,musical_instruments,botiga	=	instruments musicals
religion,muslim,religió	=	musulmà
man_made,mussel_raft,artificial	=	balsa_de_musclos
network:short,MVV,xarxa: MVV curt
metcouncil:dfz,N,metcouncil:dfz	=	nord
metcouncil:site_hfn,N,metcouncil:lloc_hfn	=	nord
tiger:CPI,N,tigre: IPC	=	nord
tiger:PCINECTA,N,tigre: PCINECTA	=	nord
tiger:PCICBSA,N,tigre:PCICBSA	=	nord
naptan:Bearing,N,naptan: Tenint N
roof:orientation:compass,N-S,sostre:orientació:brúixola	=	N-S
species,n.␣sp.,espècies	=	n._sp.
KSJ2:filename,N03-090320_02_new.xml,KSJ2: nom de fitxer	=	N03-090320_02_nou.xml
KSJ2:filename,N03-090320_16_new.xml,KSJ2: nom de fitxer	=	N03-090320_16_nou.xml
beauty,nails,bellesa	=	ungles
natural,naled,natural	=	naled
construction,narrow_gauge,construcció	=	via estreta
railway,narrow_gauge,ferrocarril	=	trocha_angosta
seamark:sea_area:category,narrows,marca:àrea del mar:categoria	=	s'estreny
fountain,nasone,font	=	nasone
border_type,nation,tipus frontera	=	nació
flag:type,national,bandera: tipus	=	nacional
importance,national,importància	=	nacional
boundary,national,Límit	=	nacional
passenger,national,passatger	=	nacional
priority,national,prioritat	=	nacional
traffic,national,trànsit	=	nacional
ownership,national,ownership	national
boundary,national_park,Límit	=	parc Nacional
source:en,"National-Land Numerical Information (Forest) 2006, MLIT Japan","font:en Informació numèrica nacional de terres (forestal) 2006, MLIT Japó"
source:en,"National-Land␣Numerical␣Information␣(Forest)␣2006,␣MLIT␣Japan","font:es	=	National-Land_Numerical_Information_(Bosc)_2006,_MLIT_Japó"
crop,native_pasture,cultiu	=	pastura_natiu
LINZ:layer,native_poly,LINZ: capa	=	natiu_poli
tree_form,natural,arbre_forma	=	natural
content,natural_gas,contingut	=	gas natural
denotation,natural_monument,denotació	=	monument natural
museum,nature,museu	=	naturalesa
board_type,nature,tipus_tauler	=	naturalesa
protected_area,nature_reserve,àrea protegida	=	reserva natural
leisure,nature_reserve,lleure	=	reserva natural
